-1.9493	9.8409	-0.0355
-4.9629	9.0216	0.7166
-1.4768	9.655	-0.5361
1.6692	9.806	0.5242
-7.4271	6.7781	-0.2484
-6.0194	7.2215	0.2302
4.9774	8.0243	0.1956
8.3368	5.4921	0.0079
6.4058	8.8061	-0.4166
2.3003	9.7167	-0.0699
4.0418	9.6189	0.1347
-5.2546	7.7423	0.0733
1.1211	10.1134	-0.1499
8.3378	6.6194	-0.1756
2.4108	10.4547	0.5744
2.6034	9.4033	-0.1356
-8.7201	3.5125	0.4643
-1.3429	10.0285	-0.4846
-10.021	0.9029	-0.3019
7.5251	7.3765	-0.1996
7.5581	6.6714	-0.201
-10.0422	0.8021	0.0627
0.2164	9.9527	-0.2413
5.8085	7.6658	-0.0429
-3.7497	9.7362	0.3311
-10.2872	2.7456	0.1499
-9.5563	3.6667	0.2301
6.5792	7.8099	-0.5454
-9.3409	2.6694	0.0445
-9.7077	2.2545	-0.0624
7.4175	6.6969	0.2459
8.1726	5.3691	-0.1291
4.4042	8.8743	-0.831
-1.7964	9.7599	-0.0264
-8.908	4.3696	-0.2709
-9.8002	4.8893	0.2722
4.7443	8.3458	-0.409
9.0032	4.4936	0.4173
-1.1313	9.7696	-0.0363
-5.8176	8.6854	-0.7878
-0.516	9.9897	0.0008
3.1779	10.3897	0.2274
-8.5255	4.0996	-0.1264
9.4436	1.0194	0.0735
6.2509	8.0182	0.002
-9.526	1.3844	-0.1394
10.0288	3.2169	0.1288
-8.7112	4.8903	-0.0794
3.947	9.307	0.0795
7.061	8.0306	0.3428
4.8396	8.6995	0.0068
-5.5236	7.6572	0.0802
9.453	0.0602	-0.3872
-9.7321	1.4748	0.6203
-10.1678	0.2941	0.3995
-5.4338	8.9155	-0.0854
-5.5904	8.4663	0.3367
3.9514	8.7499	0.6103
-9.5539	4.1891	0.694
-1.4014	9.9281	0.0693
2.9593	9.2258	-0.2718
6.3843	8.2613	-0.0966
3.4755	8.9164	-0.4926
0.5193	9.7583	-0.2136
7.9665	5.1542	0.2285
9.0572	4.4348	-0.7581
9.8769	1.1513	0.4184
-4.197	8.9544	0.0752
3.7814	9.4562	0.4921
5.2747	8.4176	-0.3408
10.1897	1.5228	0.1544
7.9085	6.2414	-0.5019
7.6038	6.4632	0.2338
4.0522	9.1377	0.0067
10.2371	0.665	-0.2125
10.5577	2.2587	-0.1373
-3.1408	9.2864	0.6595
10.3659	0.616	-0.3763
-3.3776	9.179	-0.1788
8.9327	3.5377	0.0238
-5.2029	8.675	-0.2039
-5.0451	9.2861	0.5589
-9.7961	2.6295	0.1567
0.9327	9.957	0.0136
6.9208	7.085	0.3284
-9.2283	3.3156	0.2806
-4.4713	8.8234	-0.0529
8.2805	4.0182	-0.3571
-9.7171	0.0179	-0.5968
-9.7201	1.9938	0.1475
-4.5483	8.6778	0.0632
-7.0893	7.1115	-0.0298
-6.9246	7.5579	0.3519
6.0326	7.3389	0.374
-3.7751	8.7056	-0.1607
-6.4302	7.6221	-0.1562
1.8379	9.6341	0.156
8.4484	5.381	-0.7028
-5.5832	8.5283	0.168
6.5084	7.4293	-0.0257
3.3838	9.7118	0.0955
7.0965	7.1233	0.5357
-7.2662	6.5965	-0.3864
3.3726	9.2749	0.8541
-8.4517	5.6482	-0.1964
10.639	0.0534	0.0331
9.8285	1.4973	0.0045
-8.3704	4.6301	0.7973
-6.109	7.8818	-0.1693
9.8056	1.2875	0.6686
3.9207	9.5566	-0.4937
8.8154	4.4574	0.0049
-7.7058	5.6027	-0.6673
-9.8096	2.5339	-0.5164
